Type,Clue %,Total Instances,Successes,Success Rate (%),Avg Time,Std Dev Time,Cycles
6x6,0,100,100,100.00,0.00015039,0.00001032,1.00
6x6,5,100,100,100.00,0.00014601,0.00001216,1.00
6x6,10,100,100,100.00,0.00013327,0.00000605,1.00
6x6,15,100,100,100.00,0.00012170,0.00000972,1.00
6x6,20,100,100,100.00,0.00010743,0.00003411,1.00
6x6,25,100,100,100.00,0.00008561,0.00002560,1.00
6x6,30,100,100,100.00,0.00007493,0.00005392,1.00
6x6,35,100,100,100.00,0.00003777,0.00002166,1.00
6x6,40,100,100,100.00,0.00002268,0.00001390,1.00
6x6,45,100,100,100.00,0.00001256,0.00000922,1.00
6x6,50,100,100,100.00,0.00000882,0.00000471,1.00
6x6,55,100,100,100.00,0.00000817,0.00000528,1.00
6x6,60,100,100,100.00,0.00000718,0.00000335,1.00
6x6,65,100,100,100.00,0.00000654,0.00000283,1.00
6x6,70,100,100,100.00,0.00000635,0.00000183,1.00
6x6,75,100,100,100.00,0.00000668,0.00000463,1.00
6x6,80,100,100,100.00,0.00000592,0.00000158,1.00
6x6,85,100,100,100.00,0.00000684,0.00000914,1.00
6x6,90,100,100,100.00,0.00000598,0.00000139,1.00
6x6,95,100,100,100.00,0.00000598,0.00000139,1.00
9x9,0,100,100,100.00,0.00057316,0.00005969,1.01
9x9,5,100,100,100.00,0.00052619,0.00002591,1.00
9x9,10,100,100,100.00,0.00048341,0.00002987,1.00
9x9,15,100,100,100.00,0.00043999,0.00003149,1.00
9x9,20,100,100,100.00,0.00042247,0.00017072,1.01
9x9,25,100,100,100.00,0.00033098,0.00002377,1.00
9x9,30,100,100,100.00,0.00026341,0.00005310,1.02
9x9,35,100,100,100.00,0.00017314,0.00005377,1.01
9x9,40,100,100,100.00,0.00008154,0.00004958,1.00
9x9,45,100,100,100.00,0.00004108,0.00002844,1.00
9x9,50,100,100,100.00,0.00002427,0.00001648,1.00
9x9,55,100,100,100.00,0.00001698,0.00000945,1.00
9x9,60,100,100,100.00,0.00001414,0.00000526,1.00
9x9,65,100,100,100.00,0.00001263,0.00000311,1.00
9x9,70,100,100,100.00,0.00001200,0.00000216,1.00
9x9,75,100,100,100.00,0.00001240,0.00000420,1.00
9x9,80,100,100,100.00,0.00001233,0.00000564,1.00
9x9,85,100,100,100.00,0.00001167,0.00000189,1.00
9x9,90,100,100,100.00,0.00001172,0.00000277,1.00
9x9,95,100,100,100.00,0.00001136,0.00000157,1.00
12x12,0,100,100,100.00,0.00166747,0.00039385,1.08
12x12,5,100,100,100.00,0.00171610,0.00061686,1.14
12x12,10,100,100,100.00,0.00157657,0.00049810,1.16
12x12,15,100,100,100.00,0.00155214,0.00053379,1.19
12x12,20,100,100,100.00,0.00133642,0.00040494,1.17
12x12,25,100,100,100.00,0.00132270,0.00053878,1.13
12x12,30,100,100,100.00,0.00106065,0.00036901,1.20
12x12,35,100,100,100.00,0.00091169,0.00029196,1.21
12x12,40,100,100,100.00,0.00073373,0.00031075,1.10
12x12,45,100,100,100.00,0.00049572,0.00030144,1.13
12x12,50,100,100,100.00,0.00020978,0.00012928,1.00
12x12,55,100,100,100.00,0.00008229,0.00006341,1.00
12x12,60,100,100,100.00,0.00004069,0.00003178,1.00
12x12,65,100,100,100.00,0.00002981,0.00001789,1.00
12x12,70,100,100,100.00,0.00005492,0.00027515,1.00
12x12,75,100,100,100.00,0.00002011,0.00000559,1.00
12x12,80,100,100,100.00,0.00002202,0.00001244,1.00
12x12,85,100,100,100.00,0.00001934,0.00000370,1.00
12x12,90,100,100,100.00,0.00001849,0.00000286,1.00
12x12,95,100,100,100.00,0.00002080,0.00001598,1.00
16x16,0,100,100,100.00,0.00743380,0.00228785,1.71
16x16,5,100,100,100.00,0.00688478,0.00227237,1.73
16x16,10,100,100,100.00,0.00662433,0.00223348,1.75
16x16,15,100,100,100.00,0.00590878,0.00198462,1.81
16x16,20,100,100,100.00,0.00578038,0.00226704,2.08
16x16,25,100,100,100.00,0.00562001,0.00246403,2.24
16x16,30,100,100,100.00,0.00471342,0.00195649,2.22
16x16,35,100,100,100.00,0.00469441,0.00403518,2.66
16x16,40,100,100,100.00,0.00408692,0.00467951,3.34
16x16,45,100,100,100.00,0.00112555,0.00127139,1.59
16x16,50,100,100,100.00,0.00015780,0.00014048,1.00
16x16,55,100,100,100.00,0.00006016,0.00005832,1.00
16x16,60,100,100,100.00,0.00004029,0.00001864,1.00
16x16,65,100,100,100.00,0.00003331,0.00000893,1.00
16x16,70,100,100,100.00,0.00003033,0.00000446,1.00
16x16,75,100,100,100.00,0.00003008,0.00000792,1.00
16x16,80,100,100,100.00,0.00003003,0.00000709,1.00
16x16,85,100,100,100.00,0.00003120,0.00002365,1.00
16x16,90,100,100,100.00,0.00003104,0.00001368,1.00
16x16,95,100,100,100.00,0.00002923,0.00000661,1.00
25x25,0,100,100,100.00,0.20060504,0.24876979,9.13
25x25,5,100,100,100.00,0.19605696,0.23206470,9.78
25x25,10,100,100,100.00,0.22392111,0.28931977,12.31
25x25,15,100,100,100.00,0.32143187,0.32975066,19.99
25x25,20,100,100,100.00,0.40642064,0.48517891,27.98
25x25,25,100,100,100.00,0.63836164,0.53101416,51.53
25x25,30,100,100,100.00,0.82561605,0.67878837,77.50
25x25,35,100,100,100.00,1.47447655,1.63932854,162.65
25x25,40,100,100,100.00,2.30463783,2.60561824,320.63
25x25,45,100,96,96.00,4.86689752,10.02118742,897.12
25x25,50,100,95,95.00,0.48699020,1.76705940,129.67
25x25,55,100,100,100.00,0.00025585,0.00055658,1.02
25x25,60,100,100,100.00,0.00011206,0.00004267,1.00
25x25,65,100,100,100.00,0.00009558,0.00004550,1.00
25x25,70,100,100,100.00,0.00008486,0.00002339,1.00
25x25,75,100,100,100.00,0.00008127,0.00002273,1.00
25x25,80,100,100,100.00,0.00007520,0.00000591,1.00
25x25,85,100,100,100.00,0.00007546,0.00000522,1.00
25x25,90,100,100,100.00,0.00008173,0.00002787,1.00
25x25,95,100,100,100.00,0.00007481,0.00000723,1.00
